STATE NAME,LIFE EXPECT.,MURDER
Alabama,69.1,15.1
Alaska,69.3,11.3
Arizona,70.6,7.8
Arkansas,70.7,10.1
California,71.7,10.3
Colorado,72.1,6.8
Connecticut,72.5,3.1
Delaware,70.1,6.2
Florida,70.7,10.7
Georgia,68.5,13.9
Hawaii,73.6,6.2
Idaho,71.9,5.3
Illinois,70.1,10.3
Indiana,70.9,7.1
Iowa,72.6,2.3
Kansas,72.6,4.5
Kentucky,70.1,10.6
Louisiana,68.8,13.2
Maine,70.4,2.7
Maryland,70.2,8.5
Massachusetts,71.8,3.3
Michigan,70.6,11.1
Minnesota,73,2.3
Mississippi,68.1,12.5
Missouri,70.7,9.3
Montana,70.6,5
Nebraska,72.6,2.9
Nevada,69,11.5
NewHampshire,71.2,3.3
NewJersey,70.9,5.2
NewMexico,70.3,9.7
NewYork,70.6,10.9
NorthCarolina,69.2,11.1
NorthDakota,72.8,1.4
Ohio,70.8,7.4
Oklahoma,71.4,6.4
Oregon,72.1,4.2
Pennsylvania,70.4,6.1
RhodeIsland,71.9,2.4
SouthCarolina,68,11.6
SouthDakota,72.1,1.7
Tennessee,70.1,11
Texas,70.9,12.2
Utah,72.9,4.5
Vermont,71.6,5.5
Virginia,70.1,9.5
Washington,71.7,4.3
WestVirginia,69.5,6.7
Wisconsin,72.5,3
Wyoming,70.3,6.9
