"","Gender","MonthlyBudget","WeeklySpending","FinancialStability","Financial.Aid","ComparisonOfFinancialSituation","StudentDeptAfterGraduation","ImpactOfFinancesOnDailyLife","FinancialStress","ComparisonOfMoneyManagemenent","Happiness","HappinessComparedToOtherStudents","StressLevel","Depressed","LevelSocialSupport","FrequencyOfPhsicalActivity"
"1","Female","Yes","50","No","Yes","Much worse than average","Yes","Strongly agree","Overwhelming stress","Better than others","3","1","Very high","Yes","High","Never"
"2","Female","Yes","80 ","No","Yes","Average","No","Strongly agree","High stress","Worse than others","5","3","Medium","Yes","Low","Once or twice a month"
"3","Female","Yes","100","Yes","Yes","Better than average","Yes","Slightly agree","Low stress","Better than others","8","8","Medium","No","High","More than two times a week"
"4","Female","Yes","€75","Yes","Yes","Worse than average","Yes","Strongly agree","Low stress","Far better than others","10","8","High","No","High","Once or twice a month"
"5","Male","No","100","No","Yes","Average","Yes","Agree","High stress","Worse than others","6","4","Medium","Not sure","High","Once or twice a month"
"6","Male","Yes","77.15 approximately","Yes","No","Better than average","No","Strongly agree","High stress","Better than others","8","7","High","Not sure","High","Once or twice a month"
"7","Female","Yes","100eu","Yes","No","Better than average","No","Agree","Low stress","Worse than others","7","6","High","No","High","Once or twice a month"
"8","Male","Yes","120","No","Yes","Better than average","Yes","Strongly agree","High stress","Better than others","4","5","High","Yes","Low","More than two times a week"
"9","Female","No","30-40€","Yes","Yes","Better than average","No","Strongly agree","Low stress","Neither","7?","5 (the same)","High","Not sure","Very high","Once or twice a month"
"10","Male","Yes","100","Yes","Yes","Worse than average","Yes","Agree","Low stress","Worse than others","7","8","Low","No","High","More than two times a week"
"11","Female","No","30","Yes","Yes","Worse than average","Yes","Agree","Low stress","Far better than others","8","8","High","Not sure","High","More than four times a week"
"12","Female","No","80","Yes","Yes","Better than average","Yes","Slightly disagree","Low stress","Neither","9","8","Medium","No","High","Every day"
"13","Female","No","50","Yes","Yes","Average","Yes","Slightly agree","Low stress","Far better than others","7","6","Very high","Yes","Very high","More than four times a week"
"14","Female","No","100","Yes","No","Much better than average","No","Strongly disagree","No stress","Neither","I have my very good days, i have my very very bad days","5","High","Not sure","High","More than two times a week"
"15","Female","Yes","100€","Yes","No","Much better than average","No","Strongly agree","No stress","Worse than others","10","10","Medium","No","Very high","More than two times a week"
"16","Female","No","50","No","No","Better than average","No","Slightly agree","Low stress","Neither","8","9","Medium","No","Very high","Once or twice a month"
"17","Female","Yes","25-35","Yes","No","Worse than average","No","Agree","High stress","Better than others","7","6","High","No","High","More than two times a week"
"18","Female","No","35","Yes","Yes","Average","No","Slightly agree","Low stress","Better than others","7","5","High","Not sure","High","More than two times a week"
"19","Female","Yes","40-60 euros","Yes","Yes","Better than average","No","Strongly agree","Low stress","Better than others","8","6","High","No","High","More than two times a week"
"20","Male","Yes","80","No","No","Average","No","Agree","High stress","Better than others","3","2","High","Yes","Low","More than two times a week"
"21","Female","Yes","50","No","Yes","Worse than average","Yes","Agree","High stress","Better than others","8","6","High","Yes","Medium","More than two times a week"
"22","Female","Yes","60","Yes","Yes","Much better than average","Yes","Agree","Low stress","Better than others","8","7","Very high","No","High","More than two times a week"
"23","Female","No","80","Yes","No","Better than average","No","Agree","Low stress","Better than others","9","9","Low","No","High","More than two times a week"
"24","Female","Yes","60","Yes","Yes","Average","Yes","Agree","High stress","Neither","7","6","Medium","Not sure","High","More than two times a week"
"25","Male","Yes","950","Yes","No","Much better than average","No","Agree","Low stress","Better than others","7","","High","Not sure","Very high","More than two times a week"
"26","Female","Yes","35","Yes","Yes","Average","No","Agree","Low stress","Far better than others","10","10","Low","No","Very high","More than two times a week"
"27","Female","Yes","70","No","Yes","Better than average","Yes","Agree","High stress","Neither","7","8","Medium","No","Medium","Never"
"28","Female","Yes","30","Yes","Yes","Better than average","Yes","Slightly disagree","Low stress","Neither","9","9","High","No","Medium","Once or twice a month"
"29","Female","Yes","120","Yes","Yes","Better than average","Yes","Slightly agree","Low stress","Worse than others","8","6","High","No","High","More than two times a week"
"30","Female","Yes","80","No","Yes","Better than average","Yes","Strongly agree","Low stress","Neither","10","7","Medium","No","Very high","Every day"
"31","Male","Yes","25","No","Yes","Average","Yes","Agree","Low stress","Neither","8","8","Very low","No","High","Once or twice a month"
"32","Female","Yes","20","Yes","Yes","Average","No","Slightly agree","Low stress","Neither","7","5","Medium","Yes","Low","Once or twice a month"
"33","Female","No","90€","Yes","Yes","Better than average","No","Agree","Low stress","Better than others","7.5","8","High","No","High","Once or twice a month"
"34","Male","No","800","Yes","Yes","Much better than average","No","Neither","No stress","Better than others","10","10","Medium","No","High","Never"
"35","Male","Yes","70","Yes","No","Better than average","No","Slightly agree","No stress","Neither","8","8","Medium","No","High","More than two times a week"
